width	length	x	Vmax
841	1189		
594	841		
420	594		
297	420		
210	297		
148	210		
825	720		
972	121		
720	204		
511	516		
181	370		
566	963		
898	545		
946	388		
581	879		
458	77		
697	798		
744	324		
393	435		
182	452		
434	548		
304	54		
972	919		
905	916		
667	69		
698	624		
672	88		
599	141		
879	399		
749	76		
411	284		
173	327		
343	210		
460	96		
433	797		
579	676		
874	472		
536	503		
831	375		
269	853		
156	902		
417	280		
5	26		
96	528		
142	487		
119	632		
380	520		
327	692		
928	147		
715	861		
299	69		
548	833		
476	293		
271	494		
493	127		
607	651		
535	707		
229	184		
45	518		
506	954		
531	829		
94	956		
929	71		
382	422		
699	208		
331	292		
249	575		
464	72		
295	512		
936	658		
214	318		
509	816		
257	485		
791	930		
444	646		
159	257		
250	223		
604	736		
623	485		
360	541		
519	415		
604	297		
959	927		
98	143		
943	790		
979	903		
151	146		
520	912		
648	721		
527	383		
846	977		
477	52		
319	135		
728	514		
80	165		
267	496		
402	851		
574	109		
584	189		
206	475		
102	763		
227	580		
429	269		
669	952		
819	807		
730	711		
261	444		
834	449		
874	506		
461	993		
645	932		
198	781		
322	427		
792	822		
953	729		
247	204		
984	27		
308	415		
559	688		
981	279		
399	474		
228	219		
228	774		
54	815		
586	632		
538	245		
896	216		
613	116		
534	812		
54	933		
730	648		
543	61		
721	28		
163	239		
378	309		
42	528		
675	436		
705	631		
126	160		
220	789		
352	771		
862	513		
168	65		
706	248		
618	925		
81	451		
104	450		
917	573		
228	332		
538	101		
320	269		
677	504		
129	794		
128	513		
735	766		
13	628		
648	560		
802	722		
81	924		
548	501		
926	719		
403	340		
10	271		
511	534		
147	7		
470	815		
530	87		
117	889		
390	433		
886	679		
268	406		
101	177		
105	918		
224	914		
594	182		
141	652		
983	264		
436	76		
204	663		
373	424		
362	394		
710	142		
838	870		
559	946		
676	710		
231	579		
175	176		
420	503		
549	937		
850	241		
978	582		
113	237		
280	198		
415	537		
679	521		
389	928		
497	116		
392	58		
410	389		
262	106		
439	147		
837	694		
933	919		
107	262		
418	53		
717	865		
687	714		
684	914		
82	941		
123	689		
976	295		
502	92		
88	301		
602	888		
402	82		
129	506		
986	596		
28	628		
873	461		
559	529		
404	411		
837	725		
995	887		
579	584		
7	681		
978	77		
671	455		
286	150		
948	273		
913	642		
67	506		
589	111		
336	772		
492	6		
514	585		
772	350		
502	672		
636	540		
352	212		
241	316		
656	696		
234	966		
98	353		
184	607		
918	807		
838	61		
977	918		
860	541		
595	532		
269	149		
27	676		
983	38		
197	8		
986	783		
627	7		
703	672		
963	73		
119	930		
960	368		
360	483		
536	108		
334	11		
917	473		
954	175		
185	975		
789	784		
955	574		
460	629		
290	963		
584	204		
159	867		
371	681		
46	69		
323	439		
693	269		
386	18		
244	610		
937	761		
12	126		
733	168		
800	928		
477	340		
916	765		
50	745		
590	80		
577	238		
83	504		
638	68		
846	730		
210	174		
452	463		
169	101		
930	542		
179	544		
717	594		
729	757		
769	132		
721	903		
828	942		
954	147		
42	935		
401	386		
942	565		
477	798		
638	634		
513	947		
260	954		
895	61		
487	503		
348	36		
387	837		
134	511		
193	528		
815	183		
392	658		
373	838		
556	559		
376	440		
715	464		
793	905		
745	712		
253	851		
246	214		
508	96		
879	417		
38	380		
386	780		
771	735		
392	550		
647	689		
926	927		
328	41		
187	24		
82	477		
39	778		
752	726		
150	319		
796	485		
207	103		
132	484		
414	854		
632	872		
590	386		
999	154		
44	455		
90	15		
569	36		
777	910		
612	98		
723	135		
286	903		
300	365		
597	811		
775	775		
209	671		
997	589		
49	762		
799	658		
484	850		
205	680		
507	331		
808	686		
438	900		
886	997		
555	745		
965	181		
617	532		
618	279		
65	243		
202	556		
119	388		
670	299		
887	815		
392	730		
204	543		
375	650		
650	684		
191	204		
812	404		
35	241		
532	241		
993	834		
99	138		
591	252		
703	917		
799	582		
198	403		
387	518		
4	20		
221	309		
646	502		
473	557		
829	719		
857	787		
680	628		
48	59		
186	225		
